Country,PEPM_USD,Tier
Albania,385,Tier 2
Algeria,385,Tier 2
Andorra,385,Tier 2
Angola,385,Tier 2
Antigua,455,Tier 3
Argentina,350,Tier 1
Armenia,385,Tier 2
Aruba,385,Tier 2
Australia,385,Tier 2
Austria,385,Tier 2
Azerbaijan,385,Tier 2
Bahamas,385,Tier 2
Bahrain,385,Tier 2
Bangladesh,385,Tier 2
Barbados,385,Tier 2
Belarus,385,Tier 2
Belgium,385,Tier 2
Belize,350,Tier 1
Benin,385,Tier 2
Bermuda,385,Tier 2
Bhutan,455,Tier 3
Bolivia,385,Tier 2
Bosnia,385,Tier 2
Botswana,385,Tier 2
Brazil,420,Tier 3
Brunei,455,Tier 3
Bulgaria,385,Tier 2
Burkina Faso,385,Tier 2
Burundi,385,Tier 2
Cabo Verde,455,Tier 3
Cambodia,385,Tier 2
Cameroon,385,Tier 2
Canada,350,Tier 1
Cayman Islands,385,Tier 2
Central Africa Republic,455,Tier 3
Chad,455,Tier 3
Chile,385,Tier 2
China,385,Tier 2
Colombia,350,Tier 1
Comoros,455,Tier 3
Costa Rica,350,Tier 1
Cote d'Ivoire,385,Tier 2
Croatia,385,Tier 2
Cyprus,385,Tier 2
Czech Republic/Czechia,385,Tier 2
Democratic Republic of Congo,385,Tier 2
Denmark,385,Tier 2
Djibouti,455,Tier 3
Dominica,455,Tier 3
Dominican Republic,385,Tier 2
Ecuador,385,Tier 2
Egypt,385,Tier 2
El Salvador,385,Tier 2
Equatorial Guinea,455,Tier 3
Eritrea,455,Tier 3
Estonia,385,Tier 2
Eswatini,455,Tier 3
Ethiopia,455,Tier 3
Faroe Islands,385,Tier 2
Fiji,385,Tier 2
Finland,385,Tier 2
France,385,Tier 2
Gabon,455,Tier 3
Gambia,455,Tier 3
Georgia,385,Tier 2
Germany,385,Tier 2
Ghana,385,Tier 2
Gibraltar,385,Tier 2
Global,419.3,Tier 3
Greece,385,Tier 2
Grenada,455,Tier 3
Guam,385,Tier 2
Guatemala,385,Tier 2
Guinea,385,Tier 2
Guinea-Bissau,455,Tier 3
Guyana,385,Tier 2
Haiti,455,Tier 3
Honduras,385,Tier 2
Hong Kong,385,Tier 2
Hungary,385,Tier 2
Iceland,385,Tier 2
India,315,Tier 1
Indonesia,385,Tier 2
Iraq,385,Tier 2
Ireland,385,Tier 2
Isle of Man,385,Tier 2
Israel,385,Tier 2
Italy,385,Tier 2
Ivory Coast,455,Tier 3
Jamaica,385,Tier 2
Japan,385,Tier 2
Jordan,385,Tier 2
Kazakstan,385,Tier 2
Kenya,385,Tier 2
Kiribati,455,Tier 3
Kuwait,385,Tier 2
Kyrgyzstan,455,Tier 3
Laos,385,Tier 2
Latvia,385,Tier 2
Lebanon,385,Tier 2
Lesotho,385,Tier 2
Liberia,385,Tier 2
Libya,385,Tier 2
Liechtenstein,385,Tier 2
Lithuania,385,Tier 2
Luxembourg,385,Tier 2
Macao,385,Tier 2
Madagascar,385,Tier 2
Malawi,385,Tier 2
Malaysia,385,Tier 2
Maldives,385,Tier 2
Mali,385,Tier 2
Malta,385,Tier 2
Marshall Islands,455,Tier 3
Mauritania,385,Tier 2
Mauritius,385,Tier 2
Mexico,350,Tier 1
Micronesia,455,Tier 3
Moldova,385,Tier 2
Monaco,455,Tier 3
Mongolia,385,Tier 2
Montenegro,455,Tier 3
Morocco,385,Tier 2
Mozambique,385,Tier 2
Myanmar,385,Tier 2
Namibia,385,Tier 2
Nauru,455,Tier 3
Nepal,385,Tier 2
Netherland Antilles,385,Tier 2
Netherlands,385,Tier 2
New Zealand,385,Tier 2
Nicaragua,385,Tier 2
Niger,385,Tier 2
Nigeria,385,Tier 2
North Macedonia,385,Tier 2
Norway,385,Tier 2
Oman,385,Tier 2
Pakistan,385,Tier 2
Palau,455,Tier 3
Palestine,385,Tier 2
Panama,385,Tier 2
Papua New Guinea,455,Tier 3
Paraguay,385,Tier 2
Peru,385,Tier 2
Philippines,350,Tier 1
Poland,385,Tier 2
Portugal,385,Tier 2
Puerto Rico,385,Tier 2
Qatar,385,Tier 2
Romania,385,Tier 2
Rwanda,385,Tier 2
Saint Lucia,385,Tier 2
Saint Vincent and The Grenadines,385,Tier 2
Samoa,455,Tier 3
San Marino,455,Tier 3
Saudi Arabia,385,Tier 2
Senegal,385,Tier 2
Serbia,385,Tier 2
Seychelles,385,Tier 2
Sierra Leone,385,Tier 2
Singapore,385,Tier 2
Slovakia,385,Tier 2
Slovenia,385,Tier 2
Solomon Islands,455,Tier 3
Somalia,455,Tier 3
South Africa,385,Tier 2
South Korea,385,Tier 2
Spain,385,Tier 2
Sri Lanka,385,Tier 2
Suriname,455,Tier 3
Sweden,385,Tier 2
Switzerland,385,Tier 2
Taiwan,385,Tier 2
Tajikistan,455,Tier 3
Tanzania,385,Tier 2
Thailand,385,Tier 2
Timor-Leste,455,Tier 3
Togo,385,Tier 2
Tonga,455,Tier 3
Trinidad and Tobago,385,Tier 2
Tunisia,385,Tier 2
Turkey,385,Tier 2
Turkmenistan,455,Tier 3
Tuvalu,455,Tier 3
UAE,385,Tier 2
US Virgin Islands,385,Tier 2
Uganda,385,Tier 2
Ukraine,385,Tier 2
United Kingdom,350,Tier 1
United States,385,Tier 2
Uruguay,385,Tier 2
Uzbekistan,385,Tier 2
Vanuatu,455,Tier 3
Vietnam,385,Tier 2
Yemen,385,Tier 2
Zambia,385,Tier 2
Zimbabwe,385,Tier 2
