frame_file,time_seconds,source_video
frames_dense_025s/frame_000001.jpg,0.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000005.jpg,1.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000021.jpg,5.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000041.jpg,10.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000085.jpg,21.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000105.jpg,26.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000125.jpg,31.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000145.jpg,36.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000201.jpg,50.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000221.jpg,55.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000233.jpg,58.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000401.jpg,100.00,GMT20260707-162904_Recording_1920x1200.mp4
frames_dense_025s/frame_000413.jpg,103.00,GMT20260707-162904_Recording_1920x1200.mp4
